country_code,image_code,description,response_description,response_due,response_note
EP,110E,Request For Conversion Into A National Patent Application,,,
EP,111L,Licenses,,,
EP,111R,"Other Rights ""In Rem""",,,
EP,111Z,Registering Of Licences Or Other Rights,,,
EP,16A,New Documents Discovered After Completion Of The Ep-Search Report,,,
EP,17A,Application Maintained,,,
EP,17P,Request For Examination,,,
EP,17Q,First Examination Report,Response to First Examination Report Due,4.months,
EP,18D,Deemed To Be Withdrawn,Request Further Processing and Submit Fees Concerning Failure to Respond or Loss of Rights,2.months,
EP,18R,Refused,Request Further Processing and Submit Fees Concerning Failure to Respond or Loss of Rights,2.months,
EP,18RA,Date Of Receipt Of Request For Re-Establishment Of Rights,,,
EP,18RR,Re-Established,,,
EP,18W,Withdrawn,,,
EP,19A,Date Of Stay Of Proceedings Before Grant,,,
EP,19F,Date Of Resumption (After Stay Of Proceedings) Before Grant,Response to Pending Actions Due During Stay of Proceedings,2.months,
EP,19U,Date Of Interruption (Interruption Of Proceedings) Before Grant,,,
EP,19W,Date Of Resumption (After Interruption Of Proceedings) Before Grant,Response to Pending Actions Due During Period of Interruption,2.months,
EP,25,Lapsed In A Contracting State Announced Via Postgrant Inform. From Nat. Office To Epo,Submit Request For the Re-establishment of Rights at the National Office of the Contracting State (Submit Translation and Fee),,
EP,25N,Valid In All Designated States,,,
EP,26D,Opposition Deemed Not To Have Been Filed,,,
EP,26N,No Opposition Filed,,,
EP,26U,Inadmissible Opposition,,,
EP,27A,Maintained As Amended,,,
EP,27C,Termination Of Opposition Procedure,,,
EP,27O,Opposition Rejected,,,
EP,27W,Revoked,,,
EP,29A,Suspension Of Proceedings (Correction) After Grant,,,
EP,29F,The Resumption Of A Previous Incorrect Announcement Of A Suspension Of Proceedings (Correction) After Grant,,,
EP,29U,Date Of Interruption (Interruption Of Proceedings) After Grant,,,
EP,29W,Date Of Resumption (After Interruption Of Proceedings) After Grant,Submit Renewal Fees Falling Due During The Period of Interruption,6.months,
EP,31I,Interruption,,,
EP,31R,Resumption,,,
EP,31S,Suspension,,,
EP,31W,Resumption,,,
EP,32PN,Public Notification Under Rule 80 Epc,,,
EP,34E,"Establishment Of Other Rights ""In Rem""",,,
EP,34G,Grant Of Licenses,,,
EP,34L,Legal Means Of Execution,,,
EP,34TL,Transfer Of Licenses,,,
EP,34TR,"Transfer Of Of Other Rights ""In Rem""",,,
EP,710B,Gb: Proceeding Under Rule 110(4) Patents Act 1977,,,
EP,A1,Publication of the European Patent Application,,,
EP,A4,Dispatch Of Supplementary Search Report,Response Due to Correct Deficiencies in the Search Opinion,6.months,
EP,A5,Separate Publication Of The Ep Or Int. Search Report,Submit Request for Examination and Associated Fees,6.months,
EP,AC,Divisional Application (Art. 76),,,
EP,AF,Successive Application (Art. 61),,,
EP,AGRA,Announcement Of Grant (Old Epc Before 1 July 2002),,,
EP,AK,Designated Contracting States,Designation Fee Due,6.months,
EP,AK,Designated Contracting States,Submit Request for Examination and Associated Fees,,
