country,event_code,description,response_description,response_note,response_due
US,1.AA,SEC. 1(A) CLAIM ADDED,,,
US,1.AD,SEC. 1(A) CLAIM DELETED,,,
US,1.BA,Sec. 1(B) CLAIM ADDED,,,
US,1.BD,Sec. 1(B) CLAIM DELETED,,,
US,15AB,AFFIDAVIT UNDER SECT 15 ABANDONED,,,
US,15AF,REGISTERED - SEC. 15 AFFIDAVIT FILED,,,
US,15AK,REGISTERED - SEC. 15 ACKNOWLEDGED,,,
US,44DA,SEC.  44(D) CLAIM ADDED,,,
US,44DD,SEC.  44(D) CLAIM DELETED,,,
US,44ED,SEC.  44(E) CLAIM DELETED,,,
US,44EG,44(e) PETITION - GRANTED,,,
US,44EP,44(e) PETITION - RECEIVED,,,
US,71.P,REGISTERED - PARTIAL SEC 71 ACCEPTED,,,
US,715F,REGISTERED - SEC. 71 & SEC. 15 FILED,,,
US,71AF,REGISTERED-SEC.71 FILED,,,
US,71AG,REGISTERED-SEC.71 ACCEPTED,,,
US,8.AF,REGISTERED - SEC. 8 (6-YR) FILED,,,
US,8.OK,REGISTERED - SEC. 8 (6-YR) ACCEPTED,,,
US,8.PR,REGISTERED - PARTIAL SEC. 8 (6-YR) ACCEPTED,,,
US,815F,REGISTERED - SEC. 8 (6-YR) & SEC. 15 FILED,,,
US,815I,INITIAL REVIEW ACTION MAILED - SECT 8 AND 15,,,
US,89AF,REGISTERED - COMBINED SECTION 8 (10-YR) & SEC. 9 FILED,The Owner Filed the Required Renewal Applications (Section 9 Affidavit) & the Original Registration Renewed Indefinitely for Additional Ten-Year Periods,,10.years
US,89AG,REGISTERED - SEC. 8 (10-YR) ACCEPTED/SEC. 9 GRANTED,,,
US,89IA,INITIAL REVIEW ACTION MAILED - SECT 8 & 9,,,
US,8OKT,REGISTERED - SEC. 8 (10-YR) ACCEPTED/CHECK RECORD FOR SEC. 9,,,
US,8PRT,REGISTERED - PARTIAL SEC. 8 (10-YR) ACCEPTED,,,
US,9.AF,REGISTERED - SEC. 9 FILED/CHECK RECORD FOR SEC. 8,,,
US,9G8P,REGISTERED - SEC. 9 GRANTED/CHECK RECORD FOR SEC. 8,,,
US,A7OK,AMENDMENT UNDER SECTION 7 - ISSUED,,,
US,AAUA,NOTICE OF ACCEPTANCE OF AMENDMENT TO ALLEGE USE E-MAILED,,,
US,AAUD,AMENDMENT OF ALLEGED USE DISAPPROVED,,,
US,ABN0,ABANDONMENT - INCOMPLETE RESPONSE,,,
US,ABN1,ABANDONMENT - EXPRESS MAILED,,,
US,ABN2,ABANDONMENT - FAILURE TO RESPOND OR LATE RESPONSE,,,
US,ABN3,ABANDONMENT - AFTER EX PARTE APPEAL,,,
US,ABN4,ABANDONMENT - AFTER INTER PARTES DECISION,,,
US,ABN5,ABANDONMENT - AFTER PUBLICATION,,,
US,ABN6,ABANDONMENT - NO USE STATEMENT FILED,,,
US,ABN7,ABANDONMENT - DEFECTIVE USE STATEMENT,,,
US,ACEC,AMENDMENT FROM APPLICANT ENTERED,,,
US,ADBS,1(B) BASIS DELETED; NEW BASIS REQUESTED,,,
US,ADCH,CHANGE OF NAME/ADDRESS REC'D FROM IB,,,
US,AITU,CASE ASSIGNED TO INTENT TO USE PARALEGAL,,,
US,ALIE,ASSIGNED TO LIE,,,
US,AMD7,SEC 7 REQUEST FILED,,,
US,AMPB,AMENDMENT/PETITION AFTER APPROVAL FOR PUB ENTERED,,,
US,AMPX,APPLICANT AMENDMENT PRIOR TO EXAMINATION - ENTERED,,,
US,AOUM,ASSIGNMENT OF OWNERSHIP UPDATED MANUALLY,,,
US,APET,ASSIGNED TO PETITION STAFF,,,
US,APRE,CASE ASSIGNED TO POST REGISTRATION PARALEGAL,,,
US,ARAA,ATTORNEY/DOM.REP.REVOKED AND/OR APPOINTED,,,
US,ASCK,ASSIGNMENT OF OWNERSHIP NOT UPDATED AUTOMATICALLY,,,
US,ASDF,ASSIGNMENT CHANGE WITHDRAWN,,,
US,ASGN,AUTOMATIC UPDATE OF ASSIGNMENT OF OWNERSHIP,,,
US,ATRQ,ATTORNEY REVIEW/DECISION ON AMENDMENT REQUIRED,,,
US,ATRV,ATTORNEY REVIEW COMPLETED,,,
US,AUPC,AMENDMENT TO USE PROCESSING COMPLETE,,,
